NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,TotalPlaneCount,AverageNumVerts,Average Texture Size,PipelineUS
0,0,0,0,0,0,0,0,4166
0,0,0,0,0,0,0,0,3842
0,0,0,0,0,0,0,0,4200
0,0,0,0,0,0,0,0,4028
0,0,0,0,0,0,0,0,3943
0,0,0,0,0,0,0,0,3841
0,0,0,0,0,0,0,0,3789
0,0,0,0,0,0,0,0,3828
0,0,0,0,0,0,0,0,3823
0,0,0,0,0,0,0,0,3855
0,0,0,0,0,0,0,0,3874
0,0,0,0,0,0,0,0,3882
0,0,0,0,0,0,0,0,3837
0,0,0,0,0,0,0,0,3853
0,0,0,0,0,0,0,0,3818
0,0,0,0,0,0,0,0,3824
1,325,325,12734,262144,325,12734,262144,5806
0,0,0,0,0,0,0,0,5102
1,515,515,13356,262144,515,13356,262144,5956
0,0,0,0,0,0,0,0,5136
1,511,511,14910,262144,511,14910,262144,6025
0,0,0,0,0,0,0,0,5158
2,605,362,239,66560,724,478,133120,5829
1,565,565,16981,524288,565,16981,524288,8091
1,582,582,19703,524288,582,19703,524288,8068
0,0,0,0,0,0,0,0,5339
0,0,0,0,0,0,0,0,3905
1,54,54,2056,65536,54,2056,65536,5063
3,535,227,4759,393216,681,14277,1179648,11410
2,525,282,7935,163840,564,15870,327680,9563
2,291,161,4536,163840,322,9072,327680,7710
2,489,425,8939,655360,850,17878,1310720,12681
2,424,403,5999,1048576,806,11998,2097152,18548
3,652,476,10104,786432,1428,30312,2359296,23417
3,1230,681,5397,524288,2043,16191,1572864,16745
3,1877,915,4915,436906,2745,14745,1310718,14667
2,2513,1523,4364,524288,3046,8728,1048576,12631
5,2918,735,3039,530841,3675,15195,2654205,20971
3,2966,1039,3275,360448,3117,9825,1081344,15294
3,3031,1281,4303,436906,3843,12909,1310718,14518
4,3265,878,4955,528384,3512,19820,2113536,18877
5,3326,956,4599,475136,4780,22995,2375680,21110
4,3318,1164,4093,458752,4656,16372,1835008,18680
3,3672,1599,4201,611669,4797,12603,1835007,16538
4,4370,1488,3842,524288,5952,15368,2097152,19574
4,4403,1495,4464,524288,5980,17856,2097152,18072
2,3787,2551,6853,524288,5102,13706,1048576,13706
2,3082,2164,7939,524288,4328,15878,1048576,12927
2,2213,1470,11965,524288,2940,23930,1048576,12905
1,4307,4307,6617,524288,4307,6617,524288,9753
1,5397,5397,5664,524288,5397,5664,524288,8214
2,6041,4056,8448,524288,8112,16896,1048576,11110
3,6081,2827,9750,1048576,8481,29250,3145728,24299
2,6044,4387,10392,1048576,8774,20784,2097152,20234
1,5878,5878,6929,524288,5878,6929,524288,11636
1,5945,5945,7405,524288,5945,7405,524288,8665
2,6324,3220,4672,557056,6440,9344,1114112,10536
3,6493,3446,4811,546133,10338,14433,1638399,15420
3,6484,3507,4668,546133,10521,14004,1638399,16613
3,6453,3597,4619,546133,10791,13857,1638399,17970
3,6367,3624,4689,546133,10872,14067,1638399,18323
3,6219,3703,5038,546133,11109,15114,1638399,17074
3,5980,3608,5403,567978,10824,16209,1703934,19059
3,5794,3617,4880,567978,10851,14640,1703934,18456
3,5512,3577,4981,567978,10731,14943,1703934,17730
3,5512,3654,4761,393216,10962,14283,1179648,16247
3,5373,3685,4962,393216,11055,14886,1179648,13970
3,5131,3615,4603,393216,10845,13809,1179648,13853
4,5014,2649,4173,311296,10596,16692,1245184,14934
3,4787,3482,4981,393216,10446,14943,1179648,14167
5,4685,2132,3322,262144,10660,16610,1310720,16934
5,4434,2037,3626,255590,10185,18130,1277950,15656
5,4368,2011,3756,255590,10055,18780,1277950,16666
6,4305,1633,3292,229376,9798,19752,1376256,17004
5,4210,1899,3994,353894,9495,19970,1769470,17335
5,4150,1900,4247,367001,9500,21235,1835005,18762
6,3958,1555,3641,316757,9330,21846,1900542,22364
6,4051,1574,3570,393216,9444,21420,2359296,21565
6,4146,1599,4393,436906,9594,26358,2621436,37929
2,2556,2298,6090,786432,4596,12180,1572864,23623
6,4049,1520,3928,436906,9120,23568,2621436,23959
7,3948,1384,3394,375661,9688,23758,2629627,29044
3,3744,2113,4649,436906,6339,13947,1310718,20701
3,3751,2117,4753,436906,6351,14259,1310718,14513
3,3877,2199,4571,436906,6597,13713,1310718,18345
3,3740,2164,4702,436906,6492,14106,1310718,16801
6,3735,1299,3014,256682,7794,18084,1540092,19459
6,3643,1277,3115,256682,7662,18690,1540092,18270
3,3496,2119,4856,436906,6357,14568,1310718,16322
3,3317,2060,5050,436906,6180,15150,1310718,14155
3,3357,2134,5066,436906,6402,15198,1310718,18838
3,3332,2122,4732,436906,6366,14196,1310718,20192
3,3385,2182,4754,436906,6546,14262,1310718,18486
6,3414,1419,3247,285354,8514,19482,1712124,22309
3,3337,2204,4663,436906,6612,13989,1310718,16764
3,3117,2134,4741,436906,6402,14223,1310718,15895
3,2922,2081,5003,436906,6243,15009,1310718,16596
6,2891,1434,4257,420522,8604,25542,2523132,20735
3,2939,2099,4682,436906,6297,14046,1310718,17447
3,2935,2099,4782,436906,6297,14346,1310718,14126
6,3040,1475,3352,333141,8850,20112,1998846,19400
6,3127,1482,3165,333141,8892,18990,1998846,19034
1,3128,3128,5937,524288,3128,5937,524288,12024
1,3193,3193,5972,524288,3193,5972,524288,8755
6,3219,1492,3860,262144,8952,23160,1572864,14083
6,3254,1495,4844,480597,8970,29064,2883582,23764
6,3247,1504,4906,480597,9024,29436,2883582,25081
6,3310,1528,6390,480597,9168,38340,2883582,32212
6,3394,1589,6414,480597,9534,38484,2883582,40386
6,3464,1590,6250,415061,9540,37500,2490366,25573
6,3512,1620,6068,546133,9720,36408,3276798,31640
