NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
0,0,0,0,0,739,1890,1620,138,4387
0,0,0,0,0,556,1621,1620,143,3940
0,0,0,0,0,548,1617,1612,131,3908
0,0,0,0,0,645,1623,1611,134,4013
0,0,0,0,0,544,1618,1610,135,3907
0,0,0,0,0,570,1661,1629,136,3996
0,0,0,0,0,616,1617,1606,132,3971
0,0,0,0,0,555,1612,1619,137,3923
0,0,0,0,0,544,1618,1618,137,3917
0,0,0,0,0,586,1664,1651,173,4074
0,0,0,0,0,566,1731,1880,137,4314
0,0,0,0,0,544,1613,1875,141,4173
0,0,0,0,0,569,1748,1869,162,4348
0,0,0,0,0,542,1621,2112,134,4409
0,0,0,0,0,550,1613,1892,137,4192
0,0,0,0,0,574,1658,1827,162,4221
0,0,0,0,0,528,1620,1885,138,4171
0,0,0,0,0,551,1611,1846,136,4144
0,0,0,0,0,549,1637,1740,137,4063
0,0,0,0,0,562,1652,1753,155,4122
0,0,0,0,0,569,1638,1733,135,4075
0,0,0,0,0,548,1613,1757,140,4058
0,0,0,0,0,550,1633,1821,138,4142
0,0,0,0,0,549,1634,1764,134,4081
0,0,0,0,0,565,1659,1864,145,4233
0,0,0,0,0,548,1648,1743,141,4080
0,0,0,0,0,570,1639,1619,153,3981
0,0,0,0,0,547,1629,1758,151,4085
0,0,0,0,0,562,1633,1722,134,4051
0,0,0,0,0,551,1618,1891,138,4198
0,0,0,0,0,558,1652,1617,143,3970
0,0,0,0,0,775,1626,1610,139,4150
0,0,0,0,0,394,1772,1669,147,3982
0,0,0,0,0,611,1635,1632,136,4014
0,0,0,0,0,656,1619,1630,131,4036
0,0,0,0,0,545,1618,1609,133,3905
0,0,0,0,0,547,1618,1609,171,3945
0,0,0,0,0,641,1667,1619,135,4062
0,0,0,0,0,546,1615,1621,132,3914
0,0,0,0,0,570,1653,1617,135,3975
0,0,0,0,0,559,1622,1617,135,3933
0,0,0,0,0,553,1624,1632,139,3948
0,0,0,0,0,725,1632,1649,130,4136
