NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
8,57478,25129,3897,147456,3837,2027,2131,9167,17162
8,57235,25118,3766,147456,4377,1944,2157,9540,18018
8,56573,25064,3807,147456,3581,1756,2103,8092,15532
8,54850,24834,4072,147456,3935,1985,2136,8553,16609
9,55017,22119,3758,247580,4418,2070,2175,15594,24257
8,55155,24888,4006,147456,9858,1989,2112,8565,22524
8,54080,24768,4093,147456,4023,2010,2231,8713,16977
8,54548,24805,3983,147456,3513,1984,2390,8988,16875
8,55460,24856,3951,147456,6101,1993,2151,8641,18886
8,55054,24789,4166,147456,4936,1990,2122,9009,18057
8,54191,24647,4281,147456,4360,2103,2138,9610,18211
8,54997,24672,4226,147456,4526,2056,2134,10337,19053
8,55447,24867,3952,147456,3509,1927,2325,9220,16981
8,55993,24937,3962,147456,6058,2149,2147,9193,19547
8,55487,24984,3889,147456,3444,1991,2198,9517,17150
8,55309,25077,3714,147456,6599,2031,2127,8910,19667
8,53772,24976,3976,147456,3415,1941,2416,8973,16745
8,55175,25152,3834,163840,5086,2197,2196,12354,21833
8,56656,25249,3665,147456,4375,1831,2146,9759,18111
10,57707,20367,3078,120422,3462,2042,2182,8929,16615
8,58378,25251,3711,147456,7037,1990,2156,9246,20429
9,58009,22399,3399,132892,4631,2131,2167,9756,18685
8,58584,25261,3695,147456,6374,2083,2153,9527,20137
8,58386,25320,3684,147456,4988,2098,2133,9190,18409
9,57853,22955,3766,138353,5642,1995,2228,10314,20179
8,58186,25353,3876,147456,4688,1971,2164,13255,22078
8,59235,25577,3695,180224,6727,2007,2180,11175,22089
6,59882,28482,4106,185685,6217,2073,2191,13422,23903
8,62891,26033,3737,163840,4238,1896,2167,9436,17737
8,64476,26199,3781,180224,4661,2024,2155,10242,19082
9,66066,23827,3894,174762,5109,2094,2304,11665,21172
8,69287,26630,3641,196608,5302,1958,2428,10154,19842
8,71914,26942,3697,196608,4943,1983,2273,12380,21579
8,73363,27079,3844,196608,7673,2039,2135,10154,22001
8,75466,27410,3739,229376,4207,1830,2120,10441,18598
8,76441,27567,3648,225280,5518,1951,2414,11570,21453
8,77718,27833,3612,192512,4848,1805,2171,10267,19091
8,78618,28108,3642,225280,6740,2186,2236,10628,21790
8,79015,28294,3547,192512,8743,2072,2263,10940,24018
2,58744,40229,4274,196608,4700,1960,2441,3632,12733
8,81296,28554,3348,189440,2049,1726,2167,10004,15946
8,82741,28462,3341,196608,8941,2100,2339,12080,25460
8,85090,28577,3361,196608,5224,2120,2391,11449,21184
8,86138,28561,3338,188416,4375,1799,2218,9668,18060
8,87877,28675,3239,176128,4970,1935,2226,10180,19311
7,89976,32897,3492,182564,4399,2039,2225,9254,17917
7,92151,33109,3547,184905,6442,2044,2250,9710,20446
6,93283,38542,4026,210261,6337,1858,2229,9253,19677
6,93826,38674,3976,221184,4589,2081,2353,8574,17597
5,95054,46354,4514,262144,4557,2124,2183,8901,17765
4,96582,56246,5243,360448,4559,1782,2171,8180,16692
4,97919,56571,5165,294912,7181,2062,2159,7690,19092
4,99255,56902,5164,294912,3816,2656,2436,7854,16762
4,100484,57253,5150,294912,4022,2002,2323,7677,16024
4,102377,58005,5251,294912,5839,2075,2215,9815,19944
5,102271,46956,4488,242483,4425,1928,2156,8137,16646
4,102192,58154,5463,294912,4763,1783,2188,7404,16138
4,101251,58396,5219,294912,3345,2054,2137,8250,15786
4,100667,58498,5475,294912,5715,2028,2143,7258,17144
3,99920,71171,5582,349525,5564,1945,2183,6527,16219
4,98279,58874,5207,294912,4804,2051,2235,9718,18808
3,97036,70227,5407,262144,5173,2077,2295,5911,15456
1,94519,94519,8543,262144,5440,2006,2206,2625,12277
3,93241,56923,4559,185685,2371,1762,2246,4673,11052
3,92080,68662,5530,262144,2782,2215,2227,6130,13354
3,89825,67915,5820,262144,3191,2087,2203,6333,13814
4,88899,58696,5662,229376,4196,2094,2225,7051,15566
4,87445,58664,5559,229376,3428,1806,2269,7483,14986
4,86304,58810,5631,229376,5854,2019,2231,8951,19055
4,85357,58547,5712,229376,2590,2154,2253,8536,15533
4,84033,58419,5814,229376,4887,2042,2194,8488,17611
4,83610,58526,5855,262144,2899,1913,2193,6912,13917
4,82288,58590,5581,262144,4686,2007,2184,8109,16986
4,81389,58496,5717,262144,3162,1993,2372,7283,14810
4,80050,58455,5853,262144,5195,1980,2246,7690,17111
4,79308,58406,5902,262144,4744,2099,2409,7333,16585
4,79504,58452,5742,262144,4591,1991,2218,7055,15855
4,79637,58306,5912,262144,5546,2003,2181,7205,16935
4,79817,58417,5657,262144,4114,2064,2181,7664,16023
4,80135,58432,5959,262144,3893,2005,2168,7548,15614
4,79944,58301,5867,262144,5418,2234,2307,7836,17795
4,79929,58246,6133,262144,4672,1979,2405,7178,16234
4,80049,58408,6043,262144,4600,1793,2193,7501,16087
4,80090,58220,5984,262144,4963,2085,2251,7283,16582
4,80259,58075,5975,262144,4302,2105,2274,12557,21238
4,80303,57849,6073,458752,3385,2179,2170,12060,19794
4,80471,57870,5970,262144,7574,1851,2171,7456,19052
4,80396,57634,5878,262144,3598,1993,2178,7160,14929
4,79870,57215,5815,262144,2950,2037,2348,6765,14100
4,78244,55999,5566,327680,2801,2143,2215,7815,14974
4,77682,55478,5343,327680,6608,2023,2201,8553,19385
6,76808,38651,4206,234837,6348,1861,2189,8695,19093
